N;article;author;year;LINK;morphological_structure;extracted_features;extraction_techniques;classification_techniques;accuracy;Life_forms;data_set;country_of_origin
1;Fruit Plant Leaf Identification Feature Extraction Using Zernike Moment Invariant (ZMI) and Methods Backpropagation;"ADAM S;AMIR A";2019;https://doi.org/10.1109/ICIMCIS48181.2019.8985219;Leave;Shape;Zernike Moments (ZM);Artificial Neural Networks (ANN);78;Trees;Autores;Indonesia
2;Leaves Classification Using Neural Network Based on Ensemble Features;"ADINUGROHO S;SARI Y";2018;https://doi.org/10.1109/ICEEE2.2018.8391360;Leave;Shape;Shape features;Artificial Neural Networks (ANN);95.54;Trees;Base de dados pública;Suécia
2;Leaves Classification Using Neural Network Based on Ensemble Features;"ADINUGROHO S;SARI Y";2018;https://doi.org/10.1109/ICEEE2.2018.8391360;Leave;Color;Color metrics;Artificial Neural Networks (ANN);95.54;Trees;Base de dados pública;Suécia
2;Leaves Classification Using Neural Network Based on Ensemble Features;"ADINUGROHO S;SARI Y";2018;https://doi.org/10.1109/ICEEE2.2018.8391360;Leave;Texture;Gray level cooccurrence matrix (GLCM);Artificial Neural Networks (ANN);95.54;Trees;Base de dados pública;Suécia
3;Optimized Sequential model for Plant Recognition in Keras;"AGGARWAL S;BHATIA M;MADAAN R;PANDEY H";2021;https://iopscience.iop.org/article/10.1088/1757-899X/1022/1/012118;Leave;Shape;Shape features;Sequential Model;96.7;Medicinal plants;Autores;India
3;Optimized Sequential model for Plant Recognition in Keras;"AGGARWAL S;BHATIA M;MADAAN R;PANDEY H";2021;https://iopscience.iop.org/article/10.1088/1757-899X/1022/1/012118;Leave;Color;Color metrics;Sequential Model;96.7;Medicinal plants;Autores;India
3;Optimized Sequential model for Plant Recognition in Keras;"AGGARWAL S;BHATIA M;MADAAN R;PANDEY H";2021;https://iopscience.iop.org/article/10.1088/1757-899X/1022/1/012118;Leave;Texture;Gray level cooccurrence matrix (GLCM);Sequential Model;96.7;Medicinal plants;Autores;India
3;Optimized Sequential model for Plant Recognition in Keras;"AGGARWAL S;BHATIA M;MADAAN R;PANDEY H";2021;https://iopscience.iop.org/article/10.1088/1757-899X/1022/1/012118;Leave;Shape;Harris Stevens Algorithm;Sequential Model;96.7;Medicinal plants;Autores;India
4;Ayurvedic Medicinal Plants Identification: A Comparative Study on Feature Extraction Methods;"AHILA P R;ARIVAZHAGAN S;ARUN M";2021;http://dx.doi.org/10.1007/978-981-16-1092-9_23;Leave;Shape;Momentum Characteristics;Suport Vector Machine (SVM);87.25;Medicinal plants;Autores;India
4;Ayurvedic Medicinal Plants Identification: A Comparative Study on Feature Extraction Methods;"AHILA P R;ARIVAZHAGAN S;ARUN M";2021;http://dx.doi.org/10.1007/978-981-16-1092-9_23;Leave;Shape;Histogram of Oriented Gradients (HOG);Suport Vector Machine (SVM);87.25;Medicinal plants;Autores;India
4;Ayurvedic Medicinal Plants Identification: A Comparative Study on Feature Extraction Methods;"AHILA P R;ARIVAZHAGAN S;ARUN M";2021;http://dx.doi.org/10.1007/978-981-16-1092-9_23;Leave;Texture;Discrete Wavelet Transform (DWT);Suport Vector Machine (SVM);87.25;Medicinal plants;Autores;India
4;Ayurvedic Medicinal Plants Identification: A Comparative Study on Feature Extraction Methods;"AHILA P R;ARIVAZHAGAN S;ARUN M";2021;http://dx.doi.org/10.1007/978-981-16-1092-9_23;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);87.25;Medicinal plants;Autores;India
5;Leaf identification using radial basis function neural networks and SSA based support vector machine;"AHMED A;HUSSEIN S";2020;https://doi.org/10.1371/journal.pone.0237645;Leave;Shape;Shape features;Artificial Neural Networks (ANN);91.45;Various;Base de dados pública;United States
5;Leaf identification using radial basis function neural networks and SSA based support vector machine;"AHMED A;HUSSEIN S";2020;https://doi.org/10.1371/journal.pone.0237645;Leave;Shape;Shape features;Suport Vector Machine (SVM);93.33;Various;Base de dados pública;United States
5;Leaf identification using radial basis function neural networks and SSA based support vector machine;"AHMED A;HUSSEIN S";2020;https://doi.org/10.1371/journal.pone.0237645;Leave;Shape;Shape features;Salp Swarm Algorithm (SSA);96.67;Various;Base de dados pública;United States
6;CNN-based Leaf Image Classification for Bangladeshi Medicinal Plant Recognition;"AKTER R;HOSEN M";2020;http://dx.doi.org/10.1109/ETCCE51779.2020.9350900;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);71.3;Medicinal plants;Autores;Bangladesh
7;Plant Leaf Recognition Using Texture Features and Semi-Supervised Spherical K-means Clustering;"ALAMOUDI S;HONG X;WEI H";2020;https://doi.org/10.1109/IJCNN48605.2020.9207386;Leave;Texture;Gray level cooccurrence matrix (GLCM);Online Spherical k-Means Clustering (OSKM);93.7;Trees;Base de dados pública;China
8;A Leaf Recognition Approach to Plant Classification Using Machine Learning;"ALI R;HARDIE R;ESSA A";2018;https://doi.org/10.1109/NAECON.2018.8556785;Leave;Texture;Bag of Features (BOG);Suport Vector Machine (SVM);99.4;Trees;Base de dados pública;Suécia
8;A Leaf Recognition Approach to Plant Classification Using Machine Learning;"ALI R;HARDIE R;ESSA A";2018;https://doi.org/10.1109/NAECON.2018.8556785;Leave;Texture;Local Binary Pattern (LBP);Suport Vector Machine (SVM);99.4;Trees;Base de dados pública;Suécia
9;Multi-Organ Plant Classification Using Deep Learning;"ALI A;FAHAD L";2022;https://doi.org/10.1109/INMIC56986.2022.9972979;Multiple plant organs;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);86;Various;Base de dados pública;Various
10;An Improved Deep Neural Network for Classification of Plant Seedling Images;"ALIMBOYONG C;HERNANDEZ A";2019;https://doi.org/10.1109/CSPA.2019.8696009;Whole plants;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);90.15;Seedlings;Base de dados pública;China
11;Herbal leaf recognition using mask-region convolutional neural network (mask r-cnn);"ALMAZAYDEH L;ALSALAMEEN R;ELLEITHY K";2022;http://www.jatit.org/volumes/Vol100No11/15Vol100No11.pdf;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);95.7;Medicinal plants;Autores;India
12;Statistical Image Analysis based Automated Leaves Classification;"AL-OTAIBI M;ASHOUR A;DEY N;AL ;QUTHAMI R;AL-NUFAEI A;SHI F";2017;https://ebooks.iospress.nl/DOI/10.3233/978-1-61499-785-6-469;Leave;Shape;Shape features;Euclidean Distance (ED);80;Herbaceous;Autores;India
12;Statistical Image Analysis based Automated Leaves Classification;"AL-OTAIBI M;ASHOUR A;DEY N;AL ;QUTHAMI R;AL-NUFAEI A;SHI F";2017;https://ebooks.iospress.nl/DOI/10.3233/978-1-61499-785-6-469;Leave;Shape;Shape features;Artificial Neural Networks (ANN);80;Herbaceous;Autores;India
13;Support Vector Machine-based approach for Recognizing Bonsai Species using Leaf Image;"AMINUDDIN R;MASKAN F;ABDUL J U;AHMAD F S;IBRAHIM S";2022;https://doi.org/10.1109/CSPA55076.2022.9781913;Leave;Color;Moments of color;Suport Vector Machine (SVM);98;Bonsai;Autores;Malaysia
13;Support Vector Machine-based approach for Recognizing Bonsai Species using Leaf Image;"AMINUDDIN R;MASKAN F;ABDUL J U;AHMAD F S;IBRAHIM S";2022;https://doi.org/10.1109/CSPA55076.2022.9781913;Leave;Texture;Gray level cooccurrence matrix (GLCM);Suport Vector Machine (SVM);98;Bonsai;Autores;Malaysia
14;Classification of Plants Using Invariant Features and a Neural Network;"AMLEKAR M;ALI M;GAIKWAD A";2019;http://dx.doi.org/10.1007/978-981-13-1747-7_13;Leave;Shape;Shape features;Artificial Neural Networks (ANN);87;Trees;Base de dados pública;China
14;Classification of Plants Using Invariant Features and a Neural Network;"AMLEKAR M;ALI M;GAIKWAD A";2019;http://dx.doi.org/10.1007/978-981-13-1747-7_13;Leave;Shape;HU moments;Artificial Neural Networks (ANN);87;Trees;Base de dados pública;China
15;Plant Classification Using Image Processing and Neural Network;"AMLEKAR M;GAIKWAD A";2019;http://dx.doi.org/10.1007/978-981-13-1274-8_29;Leave;Shape;Shape features;Artificial Neural Networks (ANN);99;Trees;Base de dados pública;China
16;Development of an Automated Plant Classification System Using Deep Learning Approach;"ANANTH P K;APOORVA B;MENDONCA D;HEGDE D;HEGDE R";2021;http://dx.doi.org/10.1007/978-981-16-0443-0_25;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98.3;Trees;Autores;India
17;Factors influencing the use of Deep Learning for Medicinal Plants Recognition;"ANCHITAALAGAMMAI J;REVATHY S;KAVITHA S;MURALI S";2021;http://dx.doi.org/10.1088/1742-6596/2089/1/012055;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);96.67;Medicinal plants;Autores;India
18;Morphological features for leaf based plant recognition;"APTOULA E;YANIKOGLU B";2013;http://dx.doi.org/10.1109/ICIP.2013.6738307;Leave;Shape;Shape features;K-Nearest neighbour (KNN);56.09;Various;Base de dados pública;Various
19;VGG16 for Plant Image Classification with Transfer Learning and Data Augmentation;"ABAS M;ISMAIL N;YASSIN A;TAIB M";2018;http://dx.doi.org/10.14419/ijet.v7i4.11.20781;Flowers;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);93.93;Herbaceous;Base de dados pública;NI
20;Holistic Based Plant Identification Using Deep Learning;"ARAFAT S;ARSHAD N;KHAN R";2021;https://doi.org/10.1109/ICET54505.2021.9689804;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);99.9;Herbaceous;Autores;Pakistan
20;Holistic Based Plant Identification Using Deep Learning;"ARAFAT S;ARSHAD N;KHAN R";2021;https://doi.org/10.1109/ICET54505.2021.9689804;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);99.9;Trees;Base de dados pública;Various
21;Multiple Classifier System for Plant Leaf Recognition;"ARÃUJO V;BRITTO A;BRUN A;KOERICH A;FALATE R";2017;https://doi.org/10.1109/SMC.2017.8122891;Leave;Texture;Local Binary Pattern (LBP);Suport Vector Machine (SVM);91;Various;Base de dados pública;Various
21;Multiple Classifier System for Plant Leaf Recognition;"ARÃUJO V;BRITTO A;BRUN A;KOERICH A;FALATE R";2017;https://doi.org/10.1109/SMC.2017.8122891;Leave;Texture;Speed up Robust Features (SURF);Suport Vector Machine (SVM);91;Various;Base de dados pública;Various
21;Multiple Classifier System for Plant Leaf Recognition;"ARÃUJO V;BRITTO A;BRUN A;KOERICH A;FALATE R";2017;https://doi.org/10.1109/SMC.2017.8122891;Leave;Shape;Histogram of Oriented Gradients (HOG);Artificial Neural Networks (ANN);91;Various;Base de dados pública;Various
21;Multiple Classifier System for Plant Leaf Recognition;"ARÃUJO V;BRITTO A;BRUN A;KOERICH A;FALATE R";2017;https://doi.org/10.1109/SMC.2017.8122891;Leave;Shape;Zernike Moments (ZM);Artificial Neural Networks (ANN);91;Various;Base de dados pública;Various
22;Two-view fine-grained classification of plant species;"ARAÃšJO V;BRITTO J A;OLIVEIRA L;KOERICH A";2022;https://doi.org/10.1016/j.neucom.2021.10.015;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);96;Various;Base de dados pública;Various
23;Plant Leaf Classification and Comparative Analysis of Combined Feature Set Using Machine Learning Techniques;ARIYAPADATH S;2021;https://doi.org/10.18280/ts.380603;Leave;Texture;Local Binary Pattern (LBP);Artificial Neural Networks (ANN);97.22;Trees;Base de dados pública;Various
23;Plant Leaf Classification and Comparative Analysis of Combined Feature Set Using Machine Learning Techniques;ARIYAPADATH S;2021;https://doi.org/10.18280/ts.380603;Leave;Texture;GIST characteristic;K-Nearest neighbour (KNN);97.22;Trees;Base de dados pública;Various
23;Plant Leaf Classification and Comparative Analysis of Combined Feature Set Using Machine Learning Techniques;ARIYAPADATH S;2021;https://doi.org/10.18280/ts.380603;Leave;Texture;Gray level cooccurrence matrix (GLCM);K-Nearest neighbour (KNN);97.22;Herbaceous;Base de dados pública;Various
23;Plant Leaf Classification and Comparative Analysis of Combined Feature Set Using Machine Learning Techniques;ARIYAPADATH S;2021;https://doi.org/10.18280/ts.380603;Leave;Shape;Pyramid Histogram of Oriented Gradients (PHOG);Random Forest (RF);97.22;Herbaceous;Base de dados pública;Various
23;Plant Leaf Classification and Comparative Analysis of Combined Feature Set Using Machine Learning Techniques;ARIYAPADATH S;2021;https://doi.org/10.18280/ts.380603;Leave;Shape;Histogram of Oriented Gradients (HOG);Random Forest (RF);97.22;Herbaceous;Base de dados pública;Various
24;A Plant Identication System using Shape and Morphological Features on Segmented Leaflets: Team IITK. CLEF 2012;"ARORA A;GUPTA A;BAGMAR N;MISHRA S;BHATTACHARYA A";2012;http://ceur-ws.org/Vol-1178/CLEF2012wn-ImageCLEF-AroraEt2012.pdf;Leave;Shape;Shape features;Random Forest (RF);97.22;Trees;Base de dados pública;França
25;Leaf Venation Enhancing for Texture Feature Extraction in a Plant Classification Task;"ARRASCO C;KHLEBNIKOV S;ONCEVAY A;CASTANON C";2018;https://doi.org/10.1109/LA-CCI.2018.8625221;Leave;Texture;Gray level cooccurrence matrix (GLCM);Linear Discriminant Analysis (LDA);87.75;Various;Autores;Peru
25;Leaf Venation Enhancing for Texture Feature Extraction in a Plant Classification Task;"ARRASCO C;KHLEBNIKOV S;ONCEVAY A;CASTANON C";2018;https://doi.org/10.1109/LA-CCI.2018.8625221;Leave;Texture;Fractal Dimension;Artificial Neural Networks (ANN);87.75;Various;Autores;Peru
26;A Light Weight Deep Learning Model for Real World Plant Identification;"ARSHED M;GHASSAN H;HUSSAIN M;HASSAN M;KANWAL A;FAYYAZ R";2022;https://doi.org/10.1109/DCHPC55044.2022.9731841;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);92.5;Various;Autores;Pakistan
27;Leaf Classification for Plant Recognition Using EfficientNet Architecture;"ARUN Y;VIKNESH G";2022;https://doi.org/10.1109/ICAECC54045.2022.9716637;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);99.75;Various;Base de dados pública;Pakistan
28;Fuzzy Inference System Algorithm of Plant Classification for Tea Leaf Recognition;"ARUNPRIYA C;THANAMANI A";2015;http://dx.doi.org/10.17485/ijst/2015/v8iS7/64304;Leave;Shape;Shape features;K-Nearest neighbour (KNN);92;Herbaceous;Autores;India
